epochs steps out_loss offset_loss train_accuracy time
0 0 2.540 11.974 0.132 1175.669
0 1 2.555 11.324 0.129 1789.763
0 2 2.533 10.677 0.134 2452.238
0 3 2.521 10.183 0.215 3053.737
0 4 2.510 10.534 0.277 3723.617
0 5 2.470 10.699 0.428 4326.767
0 6 2.441 11.804 0.502 4884.078
0 7 2.416 10.744 0.454 5595.441
0 8 2.370 9.978 0.457 6170.679
0 9 2.313 9.806 0.489 6764.441
0 10 2.132 10.360 0.686 7505.027
0 11 2.081 10.146 0.593 8141.282
0 12 2.137 9.512 0.528 8728.284
0 13 1.927 9.935 0.616 9341.751
0 14 1.973 10.082 0.527 9854.115
0 15 1.634 9.950 0.677 10389.508
0 16 1.798 9.136 0.595 11072.213
0 17 1.839 9.200 0.564 11593.526
0 18 1.883 8.722 0.550 12105.783
0 19 1.845 9.028 0.554 12671.027
0 20 2.168 8.923 0.411 13220.307
0 21 1.341 8.099 0.668 13870.628
0 22 1.797 8.477 0.494 14608.258
0 23 1.484 7.865 0.634 15130.970
0 24 1.541 7.639 0.573 15773.649
0 25 1.476 7.317 0.607 16360.236
0 26 2.230 7.906 0.465 17057.360
0 27 1.709 7.336 0.503 17583.852
0 28 1.443 7.079 0.557 18251.359
0 29 1.529 7.189 0.594 18957.238
0 30 1.064 6.866 0.712 19551.225
0 31 1.426 7.115 0.599 20106.991
0 32 1.442 7.111 0.611 20867.125
0 33 1.736 7.046 0.496 21596.843
0 34 1.047 6.899 0.703 22184.569
0 35 1.677 6.952 0.496 22729.182
0 36 1.254 6.708 0.661 23290.165
0 37 1.364 6.462 0.633 23959.595
0 38 2.208 7.389 0.384 24509.846
0 39 1.614 7.430 0.509 25223.958
0 40 1.300 6.647 0.645 25818.489
0 41 1.322 6.609 0.630 26531.050
0 42 1.444 6.743 0.639 27178.064
0 43 1.582 6.826 0.524 27794.699
0 44 1.526 6.582 0.552 28414.243
0 45 1.760 6.331 0.444 29086.076
0 46 1.523 6.375 0.542 29622.151
0 47 1.622 6.538 0.579 30352.550
0 48 1.367 6.334 0.621 30941.671
0 49 1.202 6.341 0.644 31501.455
0 50 1.087 6.800 0.709 32076.797
0 51 1.630 7.002 0.491 32600.460
0 52 1.351 6.600 0.603 33247.959
0 53 1.524 7.393 0.556 34064.368
0 54 1.460 6.321 0.613 34726.216
0 55 1.764 6.442 0.490 35268.888
0 56 1.474 6.054 0.589 35842.762
0 57 1.468 6.865 0.528 36483.898
0 58 1.399 6.199 0.540 37015.639
0 59 1.457 6.366 0.565 37629.526
0 60 1.178 6.559 0.620 38305.999
0 61 1.329 6.201 0.648 39004.342
0 62 0.994 6.020 0.702 39683.427
0 63 1.114 6.272 0.665 40313.478
0 64 1.369 6.595 0.642 40970.883
0 65 1.432 6.135 0.638 41629.965
0 66 1.801 6.560 0.478 42326.992
0 67 1.090 6.115 0.686 43099.662
0 68 1.350 6.086 0.624 43773.648
0 69 1.333 6.103 0.634 44588.477
0 70 1.234 6.394 0.591 45402.349
0 71 1.341 6.805 0.674 46155.407
0 72 1.115 6.026 0.629 46774.373
0 73 1.745 6.510 0.564 47328.974
0 74 1.372 5.818 0.658 48039.513
0 75 1.146 6.043 0.693 48575.882
0 76 1.355 6.098 0.592 49527.648
0 77 1.252 6.372 0.673 53755.533
0 78 1.423 6.264 0.534 58594.564
0 79 1.594 6.395 0.571 62980.886
0 80 1.616 6.117 0.553 66947.447
0 81 1.263 5.675 0.600 70966.247
0 82 1.383 5.884 0.610 74299.932
0 83 1.153 6.150 0.659 77608.226
0 84 1.602 5.845 0.575 81314.329
